cod_ibge,ano,capitulo_cid10,obitos
1700251,2019,I,6
1700251,2019,J,3
1700251,2019,E,1
1700251,2019,N,1
1700251,2020,A,1
1700251,2020,B,4
1700251,2020,C,1
1700251,2020,P,2
1700251,2020,E,1
1700251,2020,X,1
1700251,2020,J,1
1700251,2020,I,8
1700251,2021,V,1
1700251,2021,Y,1
1700251,2021,I,4
1700251,2021,C,1
1700251,2021,B,4
1700251,2021,X,2
1700251,2021,J,1
1700251,2021,Q,1
1700251,2022,X,1
1700251,2022,W,1
1700251,2022,V,3
1700251,2022,P,1
1700251,2022,J,1
1700251,2022,N,1
1700251,2022,E,2
1700251,2022,I,3
1700251,2022,C,2
1700301,2019,E,1
1700301,2019,X,1
1700301,2019,V,1
1700301,2019,K,1
1700301,2019,C,6
1700301,2019,P,1
1700301,2019,R,1
1700301,2019,I,9
1700301,2020,K,2
1700301,2020,E,3
1700301,2020,I,8
1700301,2020,C,2
1700301,2020,J,4
1700301,2020,G,1
1700301,2020,F,1
1700301,2020,W,3
1700301,2020,M,1
1700301,2020,A,1
1700301,2020,B,8
1700301,2020,V,1
1700301,2021,V,2
1700301,2021,X,4
1700301,2021,K,4
1700301,2021,E,3
1700301,2021,Q,1
1700301,2021,J,2
1700301,2021,C,5
1700301,2021,I,3
1700301,2021,B,5
1700301,2021,O,1
1700301,2021,A,1
1700301,2021,Y,1
1700301,2022,E,3
1700301,2022,W,2
1700301,2022,D,1
1700301,2022,O,1
1700301,2022,I,7
1700301,2022,G,1
1700301,2022,B,2
1700301,2022,P,3
1700301,2022,C,1
1700301,2022,J,5
1700301,2022,V,5
1700301,2022,K,4
1700350,2019,E,3
1700350,2019,J,2
1700350,2019,N,2
1700350,2019,V,7
1700350,2019,I,20
1700350,2019,O,1
1700350,2019,K,3
1700350,2019,G,1
1700350,2019,C,11
1700350,2019,X,2
1700350,2019,R,1
1700350,2019,Q,1
1700350,2020,J,3
1700350,2020,E,8
1700350,2020,Y,2
1700350,2020,X,2
1700350,2020,V,2
1700350,2020,I,7
1700350,2020,C,7
1700350,2020,O,1
1700350,2020,R,3
1700350,2020,B,3
1700350,2020,N,2
1700350,2021,I,12
1700350,2021,E,6
1700350,2021,P,1
1700350,2021,C,3
1700350,2021,J,2
1700350,2021,A,2
1700350,2021,R,4
1700350,2021,N,4
1700350,2021,B,24
1700350,2021,V,5
1700350,2021,F,1
1700350,2021,G,2
1700350,2022,X,1
1700350,2022,R,1
1700350,2022,C,4
1700350,2022,V,8
1700350,2022,K,1
1700350,2022,P,2
1700350,2022,W,1
1700350,2022,G,1
1700350,2022,N,1
1700350,2022,B,6
1700350,2022,J,5
1700350,2022,E,3
1700350,2022,I,15
1700400,2019,X,4
1700400,2019,E,6
1700400,2019,R,7
1700400,2019,N,2
1700400,2019,Y,1
1700400,2019,J,3
1700400,2019,B,1
1700400,2019,W,1
1700400,2019,I,18
1700400,2019,C,4
1700400,2019,K,6
1700400,2020,J,1
1700400,2020,V,1
1700400,2020,B,3
1700400,2020,C,7
1700400,2020,K,3
1700400,2020,P,1
1700400,2020,R,6
1700400,2020,G,2
1700400,2020,X,5
1700400,2020,I,8
1700400,2020,A,1
1700400,2020,Y,1
1700400,2021,K,4
1700400,2021,W,1
1700400,2021,Q,1
1700400,2021,R,3
1700400,2021,I,12
1700400,2021,J,1
1700400,2021,G,1
1700400,2021,N,1
1700400,2021,V,2
1700400,2021,C,3
1700400,2021,X,3
1700400,2021,F,2
1700400,2021,P,1
1700400,2021,B,4
1700400,2022,Y,1
1700400,2022,M,1
1700400,2022,K,6
1700400,2022,C,7
1700400,2022,N,3
1700400,2022,W,1
1700400,2022,R,1
1700400,2022,E,2
1700400,2022,I,18
1700400,2022,F,1
1700400,2022,X,3
1700400,2022,P,1
1700400,2022,J,5
1700400,2022,V,4
1700707,2019,W,1
1700707,2019,A,1
1700707,2019,G,1
1700707,2019,C,12
1700707,2019,N,2
1700707,2019,X,2
1700707,2019,D,1
1700707,2019,B,1
1700707,2019,P,1
1700707,2019,V,6
1700707,2019,I,16
1700707,2019,E,5
1700707,2019,J,9
1700707,2019,K,2
1700707,2020,M,1
1700707,2020,A,1
1700707,2020,N,6
1700707,2020,E,5
1700707,2020,I,11
1700707,2020,B,12
1700707,2020,V,5
1700707,2020,J,6
1700707,2020,C,6
1700707,2020,R,1
1700707,2020,P,1
1700707,2020,X,4
1700707,2020,G,1
1700707,2020,F,1
1700707,2020,W,1
1700707,2020,K,1
1700707,2021,F,1
1700707,2021,B,22
1700707,2021,G,1
1700707,2021,Y,1
1700707,2021,N,3
1700707,2021,J,3
1700707,2021,W,3
1700707,2021,E,3
1700707,2021,A,1
1700707,2021,I,21
1700707,2021,K,5
1700707,2021,C,15
1700707,2021,V,5
1700707,2021,P,2
1700707,2022,W,1
1700707,2022,E,2
1700707,2022,X,1
1700707,2022,G,2
1700707,2022,I,10
1700707,2022,C,6
1700707,2022,B,3
1700707,2022,P,2
1700707,2022,N,2
1700707,2022,R,2
1700707,2022,K,3
1700707,2022,J,9
1700707,2022,A,3
1700707,2022,V,3
1701002,2019,Y,3
1701002,2019,F,1
1701002,2019,E,2
1701002,2019,J,4
1701002,2019,K,2
1701002,2019,C,9
1701002,2019,X,1
1701002,2019,N,2
1701002,2019,R,1
1701002,2019,I,27
1701002,2019,G,1
1701002,2020,A,1
1701002,2020,C,11
1701002,2020,V,4
1701002,2020,N,1
1701002,2020,K,7
1701002,2020,X,2
1701002,2020,J,6
1701002,2020,W,2
1701002,2020,B,16
1701002,2020,G,1
1701002,2020,I,23
1701002,2020,E,8
1701002,2021,I,20
1701002,2021,F,3
1701002,2021,B,12
1701002,2021,C,6
1701002,2021,X,3
1701002,2021,J,7
1701002,2021,E,9
1701002,2021,G,2
1701002,2021,W,4
1701002,2021,K,4
1701002,2022,K,4
1701002,2022,V,4
1701002,2022,F,2
1701002,2022,C,10
1701002,2022,J,7
1701002,2022,W,1
1701002,2022,B,4
1701002,2022,N,2
1701002,2022,G,2
1701002,2022,X,2
1701002,2022,E,9
1701002,2022,I,16
1701051,2019,R,3
1701051,2019,E,2
1701051,2019,P,1
1701051,2019,D,2
1701051,2019,I,7
1701051,2019,C,3
1701051,2019,J,2
1701051,2019,K,1
1701051,2019,N,1
1701051,2019,W,1
1701051,2019,F,1
1701051,2019,Y,1
1701051,2020,G,2
1701051,2020,K,1
1701051,2020,J,2
1701051,2020,W,1
1701051,2020,C,3
1701051,2020,B,2
1701051,2020,N,1
1701051,2020,V,2
1701051,2020,I,8
1701051,2021,E,4
1701051,2021,C,2
1701051,2021,G,2
1701051,2021,V,5
1701051,2021,J,1
1701051,2021,B,6
1701051,2021,I,9
1701051,2022,W,2
1701051,2022,G,1
1701051,2022,N,1
1701051,2022,J,3
1701051,2022,V,1
1701051,2022,I,4
1701051,2022,Y,1
1701051,2022,C,7
1701051,2022,K,2
1701051,2022,F,1
1701051,2022,B,2
1701101,2019,G,2
1701101,2019,M,1
1701101,2019,I,9
1701101,2019,R,1
1701101,2019,X,1
1701101,2019,B,1
1701101,2019,K,3
1701101,2019,J,2
1701101,2019,F,1
1701101,2019,C,3
1701101,2020,B,3
1701101,2020,C,4
1701101,2020,V,1
1701101,2020,K,2
1701101,2020,I,10
1701101,2020,X,1
1701101,2020,P,2
1701101,2021,V,1
1701101,2021,R,1
1701101,2021,K,2
1701101,2021,B,13
1701101,2021,A,1
1701101,2021,D,1
1701101,2021,Y,1
1701101,2021,E,2
1701101,2021,J,1
1701101,2021,N,1
1701101,2021,X,3
1701101,2021,C,3
1701101,2021,I,6
1701101,2021,W,1
1701101,2021,P,1
1701101,2021,Q,1
1701101,2022,W,1
1701101,2022,V,2
1701101,2022,G,1
1701101,2022,E,1
1701101,2022,K,3
1701101,2022,X,2
1701101,2022,I,10
1701101,2022,C,5
1701101,2022,P,1
1701101,2022,N,1
1701101,2022,D,1
1701101,2022,J,3
1701101,2022,B,1
1701309,2019,W,2
1701309,2019,V,3
1701309,2019,C,10
1701309,2019,Q,2
1701309,2019,B,1
1701309,2019,I,8
1701309,2019,N,1
1701309,2019,P,1
1701309,2019,G,1
1701309,2019,Y,1
1701309,2019,E,2
1701309,2019,X,2
1701309,2019,J,2
1701309,2020,I,10
1701309,2020,N,1
1701309,2020,K,4
1701309,2020,C,2
1701309,2020,B,8
1701309,2020,J,4
1701309,2020,V,1
1701309,2020,M,1
1701309,2020,W,2
1701309,2020,X,1
1701309,2020,Y,1
1701309,2020,E,1
1701309,2021,X,1
1701309,2021,J,1
1701309,2021,E,2
1701309,2021,G,1
1701309,2021,Y,1
1701309,2021,K,3
1701309,2021,W,4
1701309,2021,C,4
1701309,2021,V,1
1701309,2021,B,3
1701309,2021,I,5
1701309,2022,B,2
1701309,2022,A,1
1701309,2022,E,2
1701309,2022,Y,1
1701309,2022,J,3
1701309,2022,C,3
1701309,2022,X,3
1701309,2022,K,1
1701309,2022,W,4
1701309,2022,I,4
1701309,2022,V,1
1701309,2022,P,1
1701903,2019,I,9
1701903,2019,E,1
1701903,2019,V,1
1701903,2019,J,5
1701903,2019,P,1
1701903,2019,G,1
1701903,2019,W,1
1701903,2019,X,3
1701903,2019,C,6
1701903,2019,Q,1
1701903,2020,N,1
1701903,2020,W,3
1701903,2020,I,8
1701903,2020,G,1
1701903,2020,Y,2
1701903,2020,K,1
1701903,2020,C,4
1701903,2020,O,1
1701903,2020,J,1
1701903,2020,P,1
1701903,2020,X,1
1701903,2020,B,1
1701903,2020,E,2
1701903,2021,F,1
1701903,2021,Y,1
1701903,2021,E,3
1701903,2021,J,5
1701903,2021,G,1
1701903,2021,X,3
1701903,2021,B,18
1701903,2021,I,8
1701903,2021,V,2
1701903,2021,R,1
1701903,2021,K,4
1701903,2021,P,2
1701903,2021,C,7
1701903,2022,J,2
1701903,2022,N,3
1701903,2022,G,2
1701903,2022,V,1
1701903,2022,I,7
1701903,2022,P,3
1701903,2022,C,1
1701903,2022,E,3
1701903,2022,K,2
1701903,2022,B,4
1702000,2019,X,1
1702000,2019,E,3
1702000,2019,R,2
1702000,2019,N,2
1702000,2019,O,1
1702000,2019,F,1
1702000,2019,V,4
1702000,2019,P,1
1702000,2019,G,3
1702000,2019,I,16
1702000,2019,C,8
1702000,2019,Y,1
1702000,2019,J,6
1702000,2020,J,7
1702000,2020,E,4
1702000,2020,C,9
1702000,2020,N,3
1702000,2020,X,4
1702000,2020,K,2
1702000,2020,V,2
1702000,2020,I,10
1702000,2020,B,9
1702000,2020,Q,1
1702000,2020,D,1
1702000,2020,G,2
1702000,2020,W,1
1702000,2020,R,5
1702000,2020,P,2
1702000,2021,B,13
1702000,2021,D,2
1702000,2021,V,5
1702000,2021,J,6
1702000,2021,K,2
1702000,2021,I,13
1702000,2021,G,1
1702000,2021,F,1
1702000,2021,R,2
1702000,2021,C,6
1702000,2021,X,2
1702000,2021,A,1
1702000,2021,Y,4
1702000,2021,E,2
1702000,2022,J,6
1702000,2022,V,4
1702000,2022,B,4
1702000,2022,A,2
1702000,2022,I,13
1702000,2022,W,2
1702000,2022,X,1
1702000,2022,N,2
1702000,2022,G,2
1702000,2022,E,4
1702000,2022,K,5
1702000,2022,L,1
1702000,2022,R,3
1702000,2022,C,6
1702000,2022,Q,1
1702109,2019,L,3
1702109,2019,E,82
1702109,2019,M,4
1702109,2019,J,94
1702109,2019,I,284
1702109,2019,V,56
1702109,2019,X,78
1702109,2019,C,148
1702109,2019,F,7
1702109,2019,A,15
1702109,2019,Y,11
1702109,2019,D,6
1702109,2019,W,29
1702109,2019,K,68
1702109,2019,P,12
1702109,2019,G,36
1702109,2019,B,18
1702109,2019,N,19
1702109,2019,R,7
1702109,2019,Q,12
1702109,2020,Q,14
1702109,2020,M,5
1702109,2020,K,60
1702109,2020,E,68
1702109,2020,I,288
1702109,2020,N,21
1702109,2020,V,50
1702109,2020,C,122
1702109,2020,B,256
1702109,2020,F,10
1702109,2020,J,64
1702109,2020,H,1
1702109,2020,A,9
1702109,2020,O,1
1702109,2020,D,7
1702109,2020,G,28
1702109,2020,L,3
1702109,2020,R,13
1702109,2020,P,16
1702109,2020,W,26
1702109,2020,Y,15
1702109,2020,X,70
1702109,2021,D,6
1702109,2021,O,1
1702109,2021,V,70
1702109,2021,E,66
1702109,2021,X,69
1702109,2021,W,39
1702109,2021,N,14
1702109,2021,K,72
1702109,2021,L,1
1702109,2021,C,154
1702109,2021,J,58
1702109,2021,B,339
1702109,2021,G,22
1702109,2021,I,290
1702109,2021,F,11
1702109,2021,R,10
1702109,2021,P,21
1702109,2021,M,5
1702109,2021,Y,12
1702109,2021,Q,15
1702109,2021,A,6
1702109,2022,I,326
1702109,2022,O,1
1702109,2022,E,49
1702109,2022,F,7
1702109,2022,Q,12
1702109,2022,X,74
1702109,2022,L,8
1702109,2022,V,56
1702109,2022,C,151
1702109,2022,G,27
1702109,2022,A,11
1702109,2022,D,3
1702109,2022,H,1
1702109,2022,B,74
1702109,2022,K,54
1702109,2022,P,30
1702109,2022,R,24
1702109,2022,Y,23
1702109,2022,M,3
1702109,2022,W,22
1702109,2022,J,72
1702109,2022,N,26
1702158,2019,B,2
1702158,2019,I,6
1702158,2019,V,3
1702158,2019,G,2
1702158,2019,R,1
1702158,2019,K,2
1702158,2019,J,3
1702158,2019,E,4
1702158,2019,X,2
1702158,2019,D,2
1702158,2019,W,1
1702158,2019,P,1
1702158,2020,K,4
1702158,2020,C,5
1702158,2020,I,11
1702158,2020,B,11
1702158,2020,X,2
1702158,2020,E,2
1702158,2021,R,1
1702158,2021,W,1
1702158,2021,E,1
1702158,2021,X,1
1702158,2021,C,4
1702158,2021,Q,2
1702158,2021,B,6
1702158,2021,K,5
1702158,2021,N,1
1702158,2021,I,11
1702158,2021,V,2
1702158,2021,J,1
1702158,2022,F,1
1702158,2022,P,3
1702158,2022,R,2
1702158,2022,Q,1
1702158,2022,N,1
1702158,2022,J,1
1702158,2022,C,6
1702158,2022,B,1
1702158,2022,A,1
1702158,2022,V,1
1702158,2022,I,9
1702158,2022,E,4
1702158,2022,K,1
1702158,2022,G,1
1702208,2019,Q,1
1702208,2019,W,8
1702208,2019,N,3
1702208,2019,C,16
1702208,2019,X,10
1702208,2019,B,1
1702208,2019,R,10
1702208,2019,V,3
1702208,2019,K,5
1702208,2019,E,24
1702208,2019,J,12
1702208,2019,Y,6
1702208,2019,G,6
1702208,2019,P,1
1702208,2019,A,3
1702208,2019,I,58
1702208,2020,G,4
1702208,2020,A,3
1702208,2020,B,35
1702208,2020,W,5
1702208,2020,K,7
1702208,2020,F,7
1702208,2020,N,4
1702208,2020,I,63
1702208,2020,X,10
1702208,2020,C,18
1702208,2020,O,1
1702208,2020,V,14
1702208,2020,E,18
1702208,2020,P,2
1702208,2020,J,19
1702208,2020,R,5
1702208,2020,Q,1
1702208,2021,C,21
1702208,2021,P,1
1702208,2021,Y,4
1702208,2021,G,4
1702208,2021,D,1
1702208,2021,N,6
1702208,2021,J,15
1702208,2021,F,7
1702208,2021,Q,2
1702208,2021,R,8
1702208,2021,E,22
1702208,2021,X,9
1702208,2021,V,9
1702208,2021,B,45
1702208,2021,A,3
1702208,2021,W,4
1702208,2021,K,9
1702208,2021,I,79
1702208,2022,F,2
1702208,2022,D,1
1702208,2022,R,16
1702208,2022,G,5
1702208,2022,Q,1
1702208,2022,X,7
1702208,2022,N,3
1702208,2022,J,24
1702208,2022,Y,1
1702208,2022,B,7
1702208,2022,K,10
1702208,2022,E,19
1702208,2022,P,8
1702208,2022,C,14
1702208,2022,V,12
1702208,2022,A,2
1702208,2022,W,5
1702208,2022,I,58
1702307,2019,X,4
1702307,2019,N,1
1702307,2019,W,1
1702307,2019,C,1
1702307,2019,V,3
1702307,2019,K,1
1702307,2019,J,4
1702307,2019,I,21
1702307,2019,E,3
1702307,2020,F,2
1702307,2020,E,2
1702307,2020,X,2
1702307,2020,L,1
1702307,2020,B,7
1702307,2020,N,2
1702307,2020,J,2
1702307,2020,K,5
1702307,2020,C,10
1702307,2020,W,1
1702307,2020,I,14
1702307,2020,V,2
1702307,2021,R,1
1702307,2021,D,1
1702307,2021,V,1
1702307,2021,E,1
1702307,2021,K,3
1702307,2021,C,4
1702307,2021,I,14
1702307,2021,J,1
1702307,2021,W,1
1702307,2021,A,2
1702307,2021,X,4
1702307,2021,B,12
1702307,2021,N,1
1702307,2021,F,2
1702307,2022,F,1
1702307,2022,C,8
1702307,2022,B,2
1702307,2022,V,2
1702307,2022,K,1
1702307,2022,R,3
1702307,2022,Y,2
1702307,2022,J,5
1702307,2022,N,1
1702307,2022,I,21
1702307,2022,P,2
1702307,2022,W,3
1702406,2019,G,1
1702406,2019,J,3
1702406,2019,A,3
1702406,2019,P,1
1702406,2019,Y,3
1702406,2019,F,3
1702406,2019,V,3
1702406,2019,W,2
1702406,2019,E,2
1702406,2019,N,2
1702406,2019,D,1
1702406,2019,R,10
1702406,2019,K,2
1702406,2019,X,4
1702406,2019,C,8
1702406,2019,I,24
1702406,2020,N,2
1702406,2020,F,2
1702406,2020,R,15
1702406,2020,Y,1
1702406,2020,K,2
1702406,2020,E,6
1702406,2020,G,2
1702406,2020,J,5
1702406,2020,W,2
1702406,2020,B,2
1702406,2020,X,1
1702406,2020,C,5
1702406,2020,I,19
1702406,2020,V,1
1702406,2021,C,6
1702406,2021,B,19
1702406,2021,J,11
1702406,2021,N,1
1702406,2021,V,3
1702406,2021,W,3
1702406,2021,E,4
1702406,2021,I,20
1702406,2021,P,2
1702406,2021,A,2
1702406,2021,X,4
1702406,2021,R,8
1702406,2021,G,3
1702406,2021,K,1
1702406,2022,J,8
1702406,2022,N,2
1702406,2022,W,1
1702406,2022,B,1
1702406,2022,X,2
1702406,2022,Q,1
1702406,2022,F,2
1702406,2022,C,6
1702406,2022,P,3
1702406,2022,V,2
1702406,2022,R,10
1702406,2022,K,1
1702406,2022,E,5
1702406,2022,G,2
1702406,2022,D,1
1702406,2022,I,27
1702554,2019,Y,2
1702554,2019,P,3
1702554,2019,Q,2
1702554,2019,W,1
1702554,2019,X,6
1702554,2019,B,1
1702554,2019,V,2
1702554,2019,D,2
1702554,2019,J,8
1702554,2019,K,3
1702554,2019,E,14
1702554,2019,N,1
1702554,2019,I,35
1702554,2019,C,12
1702554,2019,A,2
1702554,2019,G,3
1702554,2020,D,2
1702554,2020,Y,1
1702554,2020,V,7
1702554,2020,P,1
1702554,2020,K,3
1702554,2020,B,11
1702554,2020,I,28
1702554,2020,C,13
1702554,2020,G,4
1702554,2020,F,4
1702554,2020,W,2
1702554,2020,N,2
1702554,2020,Q,1
1702554,2020,R,3
1702554,2020,A,1
1702554,2020,J,13
1702554,2020,X,5
1702554,2020,E,10
1702554,2021,Q,2
1702554,2021,P,1
1702554,2021,B,29
1702554,2021,E,10
1702554,2021,X,5
1702554,2021,Y,1
1702554,2021,W,3
1702554,2021,R,1
1702554,2021,N,2
1702554,2021,J,11
1702554,2021,A,4
1702554,2021,G,3
1702554,2021,F,2
1702554,2021,C,12
1702554,2021,K,10
